"Kölner Straße 16"		Stuttgart	"Phoenix Design"	DE	"franziska.warnke@phoenixdesign.com"	Stuttgart/Germany	"https://uploads.ifdesign.de/Wdg/Profile/3094/logos/medium/wdg_logo_image.png"	"+ 49 711 95597655"	70376	www.phoenixdesign.com
"Auestr. 5-9"		Schiltach	"Hansgrohe Group"	DE	"susanne.schad@hansgrohe.com"	"Schiltach/Black Forest, Germany"	"https://uploads.ifdesign.de/Wdg/Profile/2047/logos/medium/88a00c943948cfcf0ae0823ccb957d10631e49b2.png"	"+49 7836 513097"	77761	http://www.hansgrohe.com
"Schaarsteinwegsbruecke 2"		Hamburg	DESIGN3	DE	wwagner@design3.de	"Hamburg + Berlin / Germany"	"https://uploads.ifdesign.de/Wdg/Profile/7316/logos/medium/2d05a0beb9e00a2da4387c04b23562a184593a99.png"	"+49 40 378793-00"	20459	www.design3.de
"Balanstr. 73 | Haus 32"		München	designaffairs	DE	info@designaffairs.com	"Munich, Germany"	"https://uploads.ifdesign.de/Wdg/Profile/1320/logos/medium/215_pt_logo.jpg"	"+49 89 442 329 0"	81541	"http://www.designaffairs.com"
"High Tech Campus"	"Building: HTC33"	Eindhoven	Philips	NL	"inge.wagemakers@philips.com"	"Eindhoven, The Netherlands"	"https://uploads.ifdesign.de/Wdg/Profile/1181/logos/medium/17_pt_logo.jpg"	+31-6-55987828	"5656 AE"	"http://www.philips.com/design"
"Feldmühleplatz 15"		Düsseldorf	Grohe	DE	"in-seonjulia.lee@grohe.com"	Düsseldorf	"https://uploads.ifdesign.de/Wdg/Profile/727/logos/medium/329_pt_logo.jpg"	+4921191303219	40545	https://www.grohe.com
"Krefelder Straße 32"		Stuttgart	"Strichpunkt Design"	DE	info@sp.design	Stuttgart	"https://uploads.ifdesign.de/Wdg/Profile/3047/logos/medium/wdg_logo_image.png"	0049.711.6203270	70376	"www.strichpunkt-design.de"
"Augustenstr. 87"		Stuttgart	"Ippolito Fleitz Group – Identity Architects"	DE	awards@ifgroup.org	Stuttgart	"https://uploads.ifdesign.de/Wdg/Profile/1080/logos/medium/7ffed97faebe351a6f803b36e960101805574dd1.png"	"+49 711 993392330"	70197	http://www.ifgroup.org
"Zeppelinstraße 53"		Ammerbuch	"Design Tech"	DE	info@designtech.eu	Ammerbuch	"https://uploads.ifdesign.de/Wdg/Profile/3065/logos/medium/wdg_logo_image.png"	"+49 (0) 7073 91 89 - 0"	72119	www.designtech.eu
"Krefelder Straße 32"		Stuttgart	"ATELIER BRÜCKNER"	DE	"atb@atelier-brueckner.com"	Stuttgart	"https://uploads.ifdesign.de/Wdg/Profile/797/logos/medium/wdg_logo_image.png"	"+49 711 50 00 77 - 0"	70376	"www.atelier-brueckner.com"
